Ticker;Ticker BBG;Name
COKE;COKE UW Equity;Coca-Cola Consolidated Inc
CVI;CVI UN Equity;CVR Energy Inc
AA;AA UN Equity;Alcoa Corp
INO;INO UW Equity;Inovio Pharmaceuticals Inc
VZ;VZ UN Equity;Verizon Communications Inc
SPWH;SPWH UW Equity;Sportsman's Warehouse Holdings Inc
SABR;SABR UW Equity;Sabre Corp
CAT;CAT UN Equity;Caterpillar Inc
JPM;JPM UN Equity;JPMorgan Chase & Co
CVX;CVX UN Equity;Chevron Corp
KO;KO UN Equity;Coca-Cola Co/The
DIS;DIS UN Equity;Walt Disney Co/The
AFMD;AFMD UQ Equity;Affimed NV
1715651D;1715651D UN Equity;EI du Pont de Nemours and Co
XOM;XOM UN Equity;Exxon Mobil Corp
GE;GE UN Equity;General Electric Co
HD;HD UN Equity;Home Depot Inc/The
IBM;IBM UN Equity;International Business Machines Corp
JNJ;JNJ UN Equity;Johnson & Johnson
RPD;RPD UQ Equity;Rapid7 Inc
MRK;MRK UN Equity;Merck & Co Inc
MMM;MMM UN Equity;3M Co
IMUX;IMUX UW Equity;Immunic Inc
BAC;BAC UN Equity;Bank of America Corp
GSAT;GSAT UA Equity;Globalstar Inc
PFE;PFE UN Equity;Pfizer Inc
PG;PG UN Equity;Procter & Gamble Co/The
T;T UN Equity;AT&T Inc
WMT;WMT UN Equity;Walmart Inc
CSCO;CSCO UW Equity;Cisco Systems Inc
INTC;INTC UW Equity;Intel Corp
MSFT;MSFT UW Equity;Microsoft Corp
SAM;SAM UN Equity;Boston Beer Co Inc/The
C;C UN Equity;Citigroup Inc
HON;HON UN Equity;Honeywell International Inc
MO;MO UN Equity;Altria Group Inc
IP;IP UN Equity;International Paper Co
ABT;ABT UN Equity;Abbott Laboratories
AFL;AFL UN Equity;Aflac Inc
APD;APD UN Equity;Air Products and Chemicals Inc
GMED;GMED UN Equity;Globus Medical Inc
AEP;AEP UN Equity;American Electric Power Co Inc
APC;APC UN Equity;Anadarko Petroleum Corp
APA;APA UN Equity;Apache Corp
GAS;GAS UN Equity;Southern Co Gas
ADP;ADP UW Equity;Automatic Data Processing Inc
AZO;AZO UN Equity;AutoZone Inc
AVY;AVY UN Equity;Avery Dennison Corp
AVP;AVP UN Equity;Avon Products Inc
BHI;BHI UN Equity;Baker Hughes Holdings LLC
VRSK;VRSK UW Equity;Verisk Analytics Inc
BLL;BLL UN Equity;Ball Corp
BK;BK UN Equity;Bank of New York Mellon Corp/The
BCR;BCR UN Equity;CR Bard Inc
BDX;BDX UN Equity;Becton Dickinson and Co
BMS;BMS UN Equity;Bemis Co Inc
WCIC;WCIC UN Equity;WCI Communities Inc
BRK/B;BRK/B UN Equity;Berkshire Hathaway Inc
HRB;HRB UN Equity;H&R Block Inc
BSX;BSX UN Equity;Boston Scientific Corp
ZTS;ZTS UN Equity;Zoetis Inc
BMY;BMY UN Equity;Bristol-Myers Squibb Co
BF/B;BF/B UN Equity;Brown-Forman Corp
CPB;CPB UN Equity;Campbell Soup Co
LUMN;LUMN UN Equity;CenturyLink Inc
FTRCQ;FTRCQ UW Equity;Frontier Communications Corp
CLX;CLX UN Equity;Clorox Co/The
CMS;CMS UN Equity;CMS Energy Corp
CL;CL UN Equity;Colgate-Palmolive Co
CMA;CMA UN Equity;Comerica Inc
CA;CA UW Equity;CA Inc
CSC;CSC UN Equity;Computer Sciences Corp
CAG;CAG UN Equity;Conagra Brands Inc
ED;ED UN Equity;Consolidated Edison Inc
BIG;BIG UN Equity;Big Lots Inc
DHR;DHR UN Equity;Danaher Corp
D;D UN Equity;Dominion Energy Inc
RRD;RRD UW Equity;RR Donnelley & Sons Co
DOV;DOV UN Equity;Dover Corp
1697067D;1697067D UN Equity;Dow Chemical Co/The
DUK;DUK UN Equity;Duke Energy Corp
ETN;ETN UN Equity;Eaton Corp PLC
ECL;ECL UN Equity;Ecolab Inc
UIHC;UIHC UR Equity;United Insurance Holdings Corp
PKI;PKI UN Equity;PerkinElmer Inc
EMC;EMC UN Equity;EMC Corp
EMR;EMR UN Equity;Emerson Electric Co
EOG;EOG UN Equity;EOG Resources Inc
ETR;ETR UN Equity;Entergy Corp
9749933D;9749933D UN Equity;Gannett Media Corp
EFX;EFX UN Equity;Equifax Inc
M;M UN Equity;Macy's Inc
FMC;FMC UN Equity;FMC Corp
F;F UN Equity;Ford Motor Co
NEE;NEE UN Equity;NextEra Energy Inc
CATB;CATB UQ Equity;Catabasis Pharmaceuticals Inc
HASI;HASI UN Equity;Hannon Armstrong Sustainable Infrastruct
MYOK;MYOK UW Equity;MyoKardia Inc
TGNA;TGNA UN Equity;TEGNA Inc
GIS;GIS UN Equity;General Mills Inc
GPC;GPC UN Equity;Genuine Parts Co
MIFI;MIFI UW Equity;Novatel Wireless Inc
GWW;GWW UN Equity;WW Grainger Inc
HAL;HAL UN Equity;Halliburton Co
HAR;HAR UN Equity;Harman International Industries Inc
GEENQ;GEENQ UR Equity;Global Eagle Entertainment Inc
JOY;JOY UN Equity;Komatsu Mining Corp
LHX;LHX UN Equity;L3Harris Technologies Inc
PEAK;PEAK UN Equity;Healthpeak Properties Inc
HP;HP UN Equity;Helmerich & Payne Inc
HSY;HSY UN Equity;Hershey Co/The
HOT;HOT UN Equity;Starwood Hotels & Resorts Worldwide LLC
CNP;CNP UN Equity;CenterPoint Energy Inc
HUM;HUM UN Equity;Humana Inc
ITW;ITW UN Equity;Illinois Tool Works Inc
TT;TT UN Equity;Trane Technologies PLC
IPG;IPG UN Equity;Interpublic Group of Cos Inc/The
WP;WP UN Equity;Worldpay Inc
IFF;IFF UN Equity;International Flavors & Fragrances Inc
J;J UN Equity;Jacobs Engineering Group Inc
BKS;BKS UN Equity;Barnes & Noble Inc
1436513D;1436513D UN Equity;Johnson Controls Inc
K;K UN Equity;Kellogg Co
KMB;KMB UN Equity;Kimberly-Clark Corp
KIM;KIM UN Equity;Kimco Realty Corp
KSS;KSS UN Equity;Kohl's Corp
KR;KR UN Equity;Kroger Co/The
LM;LM UN Equity;Legg Mason Inc
LEG;LEG UN Equity;Leggett & Platt Inc
LEN;LEN UN Equity;Lennar Corp
JEF;JEF UN Equity;Jefferies Financial Group Inc
LLY;LLY UN Equity;Eli Lilly and Co
MCFT;MCFT UQ Equity;MasterCraft Boat Holdings Inc
LB;LB UN Equity;L Brands Inc
ORCL;ORCL UN Equity;Oracle Corp
HST;HST UN Equity;Host Hotels & Resorts Inc
MMC;MMC UN Equity;Marsh & McLennan Cos Inc
MAS;MAS UN Equity;Masco Corp
MAT;MAT UW Equity;Mattel Inc
SPGI;SPGI UN Equity;S&P Global Inc
CSRA;CSRA UN Equity;CSRA Inc
MDT;MDT UN Equity;Medtronic PLC
CVS;CVS UN Equity;CVS Health Corp
MU;MU UW Equity;Micron Technology Inc
MSI;MSI UN Equity;Motorola Solutions Inc
MUR;MUR UN Equity;Murphy Oil Corp
MYL;MYL UW Equity;Mylan NV
LH;LH UN Equity;Laboratory Corp of America Holdings
THC;THC UN Equity;Tenet Healthcare Corp
NEM;NEM UN Equity;Newmont Corp
NKE;NKE UN Equity;NIKE Inc
NI;NI UN Equity;NiSource Inc
NBL;NBL UN Equity;Noble Energy Inc
NSC;NSC UN Equity;Norfolk Southern Corp
ES;ES UN Equity;Eversource Energy
NOC;NOC UN Equity;Northrop Grumman Corp
WFC;WFC UN Equity;Wells Fargo & Co
AAIC;AAIC UN Equity;Arlington Asset Investment Corp
NUE;NUE UN Equity;Nucor Corp
OXY;OXY UN Equity;Occidental Petroleum Corp
OMC;OMC UN Equity;Omnicom Group Inc
OKE;OKE UN Equity;ONEOK Inc
PCG;PCG UN Equity;PG&E Corp
PH;PH UN Equity;Parker-Hannifin Corp
PPL;PPL UN Equity;PPL Corp
CPPRQ;CPPRQ UN Equity;Old Copper Co Inc
PEP;PEP UN Equity;PepsiCo Inc
EXC;EXC UN Equity;Exelon Corp
COP;COP UN Equity;ConocoPhillips
PNW;PNW UN Equity;Pinnacle West Capital Corp
XBIT;XBIT UW Equity;XBiotech Inc
PNC;PNC UN Equity;PNC Financial Services Group Inc/The
CDTX;CDTX UQ Equity;Cidara Therapeutics Inc
PPG;PPG UN Equity;PPG Industries Inc
PX;PX UN Equity;Linde Inc/CT
PGR;PGR UN Equity;Progressive Corp/The
